data,scontrini_R005,totale_R005,weekend,holiday,season,date,weather_condition
2018-09-01,774.0,20716.77,1,0,Estate,2018-09-01,Moderate conditions
2018-09-02,664.0,17360.71,1,0,Estate,2018-09-02,Moderate conditions
2018-09-03,706.0,17965.21,0,0,Estate,2018-09-03,Favorable conditions
2018-09-04,644.0,15124.61,0,0,Estate,2018-09-04,Favorable conditions
2018-09-05,691.0,16779.77,0,0,Estate,2018-09-05,Moderate conditions
2018-09-06,440.0,10646.5,0,0,Estate,2018-09-06,Moderate conditions
2018-09-07,782.0,19139.48,1,0,Estate,2018-09-07,Moderate conditions
2018-09-08,817.0,21437.83,1,0,Estate,2018-09-08,Favorable conditions
2018-09-09,657.0,17846.34,1,0,Estate,2018-09-09,Favorable conditions
2018-09-10,918.0,21674.64,0,0,Estate,2018-09-10,Favorable conditions
2018-09-11,768.0,18102.71,0,0,Estate,2018-09-11,Favorable conditions
2018-09-12,949.0,24730.46,0,0,Estate,2018-09-12,Moderate conditions
2018-09-13,748.0,18711.58,0,0,Estate,2018-09-13,Moderate conditions
2018-09-14,960.0,22904.29,1,0,Estate,2018-09-14,Moderate conditions
2018-09-15,950.0,24448.32,1,0,Estate,2018-09-15,Moderate conditions
2018-09-16,680.0,17863.68,1,0,Estate,2018-09-16,Moderate conditions
2018-09-17,667.0,15960.48,0,0,Estate,2018-09-17,Moderate conditions
2018-09-18,706.0,16227.31,0,0,Estate,2018-09-18,Favorable conditions
2018-09-19,752.0,18560.79,0,0,Estate,2018-09-19,Favorable conditions
2018-09-20,1075.0,22315.21,0,0,Estate,2018-09-20,Favorable conditions
2018-09-21,900.0,20283.43,1,0,Autunno,2018-09-21,Moderate conditions
2018-09-22,912.0,23070.03,1,0,Autunno,2018-09-22,Favorable conditions
2018-09-23,604.0,15614.07,1,0,Autunno,2018-09-23,Moderate conditions
2018-09-24,639.0,12722.92,0,0,Autunno,2018-09-24,Favorable conditions
2018-09-25,737.0,14032.98,0,0,Autunno,2018-09-25,Favorable conditions
2018-09-26,723.0,14677.98,0,0,Autunno,2018-09-26,Favorable conditions
2018-09-27,652.0,15454.89,0,0,Autunno,2018-09-27,Favorable conditions
2018-09-28,986.0,21941.77,1,0,Autunno,2018-09-28,Favorable conditions
2018-09-29,915.0,20208.24,1,0,Autunno,2018-09-29,Moderate conditions
2018-09-30,712.0,16201.01,1,0,Autunno,2018-09-30,Moderate conditions
2018-10-01,544.0,11901.8,0,0,Autunno,2018-10-01,Favorable conditions
2018-10-02,561.0,13709.0,0,0,Autunno,2018-10-02,Favorable conditions
2018-10-03,608.0,12597.97,0,0,Autunno,2018-10-03,Favorable conditions
2018-10-04,647.0,14582.32,0,0,Autunno,2018-10-04,Moderate conditions
2018-10-05,849.0,20594.75,1,0,Autunno,2018-10-05,Moderate conditions
2018-10-06,929.0,24836.88,1,0,Autunno,2018-10-06,Moderate conditions
2018-10-07,570.0,14435.46,1,0,Autunno,2018-10-07,Moderate conditions
2018-10-08,649.0,15711.2,0,0,Autunno,2018-10-08,Favorable conditions
2018-10-09,565.0,12979.79,0,0,Autunno,2018-10-09,Moderate conditions
2018-10-10,567.0,14032.86,0,0,Autunno,2018-10-10,Moderate conditions
2018-10-11,535.0,12929.25,0,0,Autunno,2018-10-11,Moderate conditions
2018-10-12,852.0,21634.42,1,0,Autunno,2018-10-12,Favorable conditions
2018-10-13,849.0,21646.53,1,0,Autunno,2018-10-13,Favorable conditions
